busstop_id,lat,lng
587,-3.807626,-38.577935
588,-3.805997,-38.57301
589,-3.806866,-38.572947
590,-3.808854,-38.573898
592,-3.80803,-38.571169
593,-3.807648,-38.570101
595,-3.806207,-38.569653
596,-3.804613,-38.56917
597,-3.806043,-38.568137
598,-3.808247,-38.568743
599,-3.808396,-38.568868
600,-3.812565,-38.561044
601,-3.813306,-38.558132
602,-3.81221,-38.559951
603,-3.817881,-38.564618
604,-3.817903,-38.565407
606,-3.815072,-38.560612
607,-3.817477,-38.557264
608,-3.81544,-38.558018
609,-3.814118,-38.557052
610,-3.815966,-38.560562
611,-3.819299,-38.597872
612,-3.821063,-38.595365
613,-3.820287,-38.596464
614,-3.819206,-38.592289
615,-3.818501,-38.591301
616,-3.822906,-38.58656
617,-3.82367,-38.587514
619,-3.825485,-38.588763
620,-3.826361,-38.588398
621,-3.822625,-38.584696
622,-3.827041,-38.582639
623,-3.826146,-38.58135
624,-3.825349,-38.58013
625,-3.824848,-38.579228
626,-3.824786,-38.578836
627,-3.79678,-38.489237
628,-3.795914,-38.491318
629,-3.795786,-38.49099
630,-3.794458,-38.489507
632,-3.790984,-38.488582
634,-3.791639,-38.48772
635,-3.793832,-38.48794
638,-3.796082,-38.483107
639,-3.795876,-38.483019
640,-3.796388,-38.486456
641,-3.796135,-38.487863
642,-3.796242,-38.48851
643,-3.796598,-38.488093
645,-3.818632,-38.575882
646,-3.819676,-38.57726
647,-3.819666,-38.573132
648,-3.819221,-38.572308
649,-3.823839,-38.578529
650,-3.825424,-38.575832
651,-3.826888,-38.573556
652,-3.826104,-38.569564
653,-3.826401,-38.569565
654,-3.824665,-38.56818
655,-3.820517,-38.566208
657,-3.820583,-38.565198
658,-3.820524,-38.565083
659,-3.820822,-38.563402
660,-3.820939,-38.5634
661,-3.822345,-38.562993
662,-3.822223,-38.563025
663,-3.819187,-38.562684
664,-3.818801,-38.562699
665,-3.821636,-38.558184
666,-3.821674,-38.558527
667,-3.82027,-38.55962
